Category,Function,Method,Endpoint,Description
로그인 API,콜백 처리,POST,/auth/google/callback,기존 회원이면 세션 발급 / 첫 가입이면 onboarding_token 발급
로그인 API,닉네임 중복 확인,GET,/users/nickname/check,
로그인 API,로그아웃,POST,/auth/logout,인증 Y | 로그아웃 요청 시 쿠키 삭제
로그인 API,정식 세션 발급,POST,/onboarding,닉네임 + 관심 카테고리 설정 후 정식 세션 발급. 인증 Y onboarding_token
로그인 API,관심 카테고리 목록 조회,GET,/interest_categories,
로그인 API,Google OAuth URL 조회,GET,/auth/google,
피드백 API,내 피드백 목록 조회,GET,/users/me/feedbacks,
피드백 API,서비스별 피드백 목록 조회,GET,/services/{service_id}/feedbacks,
피드백 API,피드백 삭제,DELETE,/services/{service_id}/feedbacks/{feedback_id},
피드백 API,오늘 피드백 작성 가능 횟수 조회,GET,/users/me/feedback-quota,
피드백 API,피드백 단건 조회,GET,/services/{service_id}/feedbacks/{feedback_id},
피드백 API,피드백 작성,POST,/services/{service_id}/feedbacks,
피드백 API,피드백 수정,PATCH,/services/{service_id}/feedbacks/{feedback_id},
마이페이지 API,프로필(내 정보) 수정,PATCH,/users/me/profile,"닉네임, 가입일시, 보유 빡낌 등 기본 정보 수정"
마이페이지 API,내 홍보 신청 내역 조회,GET,/users/me/promotions,내가 신청한 홍보 내역을 조회합니다.
마이페이지 API,내 정보 조회,GET,/users/me/profile,"닉네임, 가입일시, 보유 빡낌 등 기본 정보 조회"
마이페이지 API,내 서비스 목록 조회,GET,/users/me/services,내가 등록한 서비스 목록을 조회합니다.
마이페이지 API,내가 작성한 피드백 목록 조회,GET,/users/me/feedbacks,로그인한 회원이 작성한 피드백 목록을 조회합니다.
마이페이지 API,특정 서비스 성과 추이 조회,GET,/services/{service_id}/feedback-trends,특정 서비스의 피드백 추이 조회. 권한은 서버 로직이 판단
마이페이지 API,진행 중인 내 홍보 목록 조희,GET,/users/me/promotions/active,현재 진행 중인 내 홍보 목록을 조회합니다.
커뮤니티 댓글 API,댓글 삭제,DELETE,/comments/{comment_id},내가 작성한 댓글을 삭제합니다.
커뮤니티 댓글 API,댓글 작성,POST,/posts/{post_id}/comments,특정 게시글에 댓글을 작성합니다.
커뮤니티 댓글 API,커뮤니티 게시물별 댓글 조회,GET,/posts/{post_id}/comments,특정 게시글에 작성된 댓글 목록을 조회합니다.
커뮤니티 댓글 API,댓글 수정,PATCH,/comments/{comment_id},내가 작성한 댓글의 내용을 수정합니다.
빡낌 API,보유 포인트 조회,GET,/users/me/points/balance,내 보유 포인트만 조회
빡낌 API,데일리 출석 체크 및 포인트 지급,POST,/users/me/missions/attendance,데일리 출석 체크 및 포인트 지급
빡낌 API,포인트 변동 내역 조회,POST,/users/me/points/logs,변동 내역 조회
빡낌 API,출석 현황 및 연속 출석일 조회,GET,/users/me/missions/attendance,내 출석 현황 및 연속 출석일 조회
빡낌 API,홍보 상품 목록 조회,GET,/promotion-products,"전체 홍보 상품 이름, 단가 조회"
빡낌 API,홍보 상품 단건 조회,GET,/promotion-products/{promotion_product_id},홍보 상품 단건 조회
빡낌 API,홍보 신청 및 포인트 차감,POST,/promotions,홍보 신청
커뮤니티 API,게시글 상세 조회,GET,/posts/{post_id},특정 게시글 한 개의 상세 내용을 가져옵니다.
커뮤니티 API,게시글 수정,PUT,/posts/{post_id},내가 작성한 게시글의 제목과 본문을 수정합니다.
커뮤니티 API,게시글 작성,POST,/posts,새로운 커뮤니티 게시글을 등록합니다.
커뮤니티 API,게시글 삭제,DELETE,/posts/{post_id},내가 작성한 게시글을 삭제합니다.
커뮤니티 API,게시글 전체 조회,GET,/posts?type={post_type}&sort={sort_type},게시판 유형별로 필터링하여 글 목록을 가져옵니다. Query sort: latest/views
신고 API,전체 신고 목록 조회 (관리자용),GET,/reports,"post는 모두 사용 가능, get은 관리자만 접근 가능하게 백엔드 로직에 맡김"
신고 API,콘텐츠 신고 접수,POST,/reports,규정을 위반한 서비스나 커뮤니티 게시글을 신고합니다.
신고 API,신고 콘텐츠 처리 (관리자용),PATCH,/reports/{report_id},관리자가 콘텐츠를 처리 완료한다.
팔로우/팔로잉,팔로우 상태 조회,GET,/users/{user_id}/follow-status,특정 사용자를 팔로우 중인지 확인합니다.
팔로우/팔로잉,사용자 팔로우,POST,/users/{user_id}/follow,특정 사용자 팔로우.
팔로우/팔로잉,팔로잉 목록 조회,GET,/users/{user_id}/followings,특정 사용자가 팔로우한 사용자 목록을 조회합니다.
팔로우/팔로잉,사용자 언팔로우,DELETE,/users/{user_id}/follow,로그인한 사용자가 특정 사용자의 팔로우를 취소합니다.
팔로우/팔로잉,팔로워 목록 조회,GET,/users/{user_id}/followers,특정 사용자를 팔로우한 사용자 목록을 조회합니다.
서비스 등록 API,전체 서비스 조회,GET,/services
서비스 등록 API,서비스 등록,POST,/services
서비스 등록 API,특정 서비스 조회,GET,/services/{service_id}
서비스 등록 API,특정 서비스 수정,PATCH,/services/{service_id}
서비스 등록 API,특정 서비스 삭제,DELETE,/services/{service_id}
